Day,Product variant SKU at time of sale,Net items sold
12/31/2025,TD525060U,3
12/31/2025,TDWFP004,2
12/31/2025,TDWFP018,1
12/31/2025,TD760030U,1
12/31/2025,TD718060U,1
12/31/2025,TDW3670,8
12/31/2025,TDWFP006,1
12/31/2025,TDWFP009,1
12/31/2025,TD125060U,5
12/31/2025,TDWFP021,4
12/31/2025,TD440060U,3
12/31/2025,TD578060U,2
12/31/2025,TDWFP015,5
12/31/2025,TDWFP002,26
12/31/2025,TDWFP018,2
12/31/2025,TDW4680,3
12/31/2025,TD718060U,2
12/31/2025,TD524120U,1
12/31/2025,TD559060U,1
12/31/2025,TDWFP015,8
12/31/2025,TDWFP011,4
12/31/2025,TD250060U,2
12/31/2025,TDW4682,1
12/31/2025,TD125030U,2
12/31/2025,TDWFP016,5
12/31/2025,TDWFP019,8
12/31/2025,TD523120U,2
12/31/2025,TDWFP022,5
12/31/2025,TDWFP001,32
12/31/2025,TD266060U,1
12/31/2025,TDWB022,7
12/31/2025,TDWFP007,13
12/31/2025,TDWFP012.1,4
12/31/2025,TD918060U,1
12/31/2025,TD145060U,1
12/31/2025,TD578060U,2
12/31/2025,TDWFP020,5
12/31/2025,TDWFP019,2
12/31/2025,TD250120U,2
12/31/2025,TDWFP009,3
12/31/2025,TDWB004,1
12/31/2025,TD125030U,10
12/31/2025,TD125030U,18
12/31/2025,TD635060U,1
12/31/2025,TDWFP005,1
12/31/2025,TDWFP009,5
12/31/2025,TDWFP022,2
12/31/2025,TD128090U,1
12/31/2025,T172060U,5
12/31/2025,TD440060U,12
12/31/2025,TD525060U,2
12/31/2025,TD482060U,3
12/31/2025,TDWFP013,6
12/31/2025,TDWFP006,3
12/31/2025,TDWFP014,1
12/31/2025,TD250060U,5
12/31/2025,TD523120U,1
12/31/2025,TDWFP008,13
12/31/2025,TDWB006,1
12/31/2025,TDWFP022,5
12/30/2025,TD918060U,2
12/30/2025,TDW3670,22
12/30/2025,TDWFP009,4
12/30/2025,TDWB004,2
12/30/2025,TDWFP009,1
12/30/2025,TD440060U,5
12/30/2025,TD635060U,1
12/30/2025,TDWC005,1
12/30/2025,TDWFP021,17
12/30/2025,TDWFP015,43
12/30/2025,TDWFP003,1
12/30/2025,TDWFP018,11
12/30/2025,TDWFP013,3
12/30/2025,TD250060U,2
12/30/2025,TD718060U,8
12/30/2025,TD525060U,1
12/30/2025,T172060U,1
12/30/2025,TDW3670,11
12/30/2025,TDWFP007,14
12/30/2025,TDWFP020,1
12/30/2025,TD128090U,3
12/30/2025,TDWB020,1
12/30/2025,GYGR002,2
12/30/2025,TD125060U,1
12/30/2025,TDWFP019,5
12/30/2025,TDWFP005,13
12/30/2025,TD125030U,3
12/30/2025,TDWFP022,0
12/30/2025,TDW2300,2
12/30/2025,TDWFP020,28
12/30/2025,TDW4682,6
12/30/2025,TDWFP008,11
12/30/2025,TDW2300,6
12/30/2025,TDWM001,20
12/30/2025,TDWFP011,17
12/30/2025,TDWFP019,26
12/30/2025,TDWFP001,15
12/30/2025,TDWFP017,1
12/30/2025,TDWB018,2
12/30/2025,TD578060U,2
12/30/2025,TDWG001,1
12/30/2025,TDWFP006,9
12/30/2025,TDWFP019,1
12/30/2025,TDWFP020,3
12/30/2025,TDWFP004,4
12/30/2025,TD125030U,4
12/30/2025,TDWFP018,3
12/30/2025,TDWB004,1
12/30/2025,TDWFP028,1
12/30/2025,TD125060U,1
12/30/2025,TD525060U,12
12/30/2025,TDWFP023,1
12/30/2025,TD128090U,7
12/30/2025,TD440060U,20
12/30/2025,TD760030U,2
12/30/2025,TDWFP002,11
12/30/2025,TDWFP006,39
12/30/2025,TD482060U,20
12/30/2025,TDWB019,30
12/30/2025,TDWFP011,1
12/30/2025,TDWFP014,72
12/30/2025,TDWFP011,1
12/30/2025,TD524120U,1
12/30/2025,TDWFP015,7
12/30/2025,TDWFP024,1
12/30/2025,TD250060U,18
12/30/2025,TDWFP001,1
12/30/2025,TDWFP020,5
12/30/2025,TD524120U,5
12/30/2025,TDWFP022,30
12/30/2025,TDWFP008,69
12/30/2025,TDWFP013,1
12/30/2025,TD523120U,2
12/30/2025,TD250120U,1
12/30/2025,TD918060U,6
12/30/2025,TDW3670,1
12/30/2025,TD266060U,2
12/30/2025,TDWB022,46
12/30/2025,TDWFP007,66
12/30/2025,TDWFP024,1
12/30/2025,TDWFP001,1
12/30/2025,TD527030U,1
12/30/2025,TDWFP022,9
12/30/2025,TD145060U,1
12/30/2025,TDW4682,5
12/30/2025,TDWFP007,8
12/30/2025,TDWFP002,2
12/30/2025,TDWFP012.1,17
12/30/2025,TD527030U,3
12/30/2025,TD525060U,1
12/30/2025,TD250120U,8
12/30/2025,TD718060U,1
12/30/2025,TDWFP023,5
12/30/2025,TDWFP024,1
12/30/2025,TDWFP009,17
12/30/2025,TDWFP021,11
12/30/2025,TD125030U,14
12/30/2025,TDWFP015,1
12/30/2025,TD635060U,1
12/30/2025,TDWFP010,125
12/30/2025,TDWFP015,1
12/30/2025,TDW2075,5
12/30/2025,TD578060U,1
12/30/2025,TDWFP002,2
12/30/2025,TD918060U,3
12/30/2025,TDWFP029,54
12/30/2025,TDWFP022,1
12/30/2025,TD524120U,3
12/30/2025,TDWG002,2
12/30/2025,TD527030U,1
12/30/2025,TD145060U,1
12/30/2025,TDWFP024,3
12/30/2025,TDWFP008,1
12/30/2025,TDW2075,2
12/30/2025,TDWFP006,4
12/30/2025,TD440060U,1
12/30/2025,TDWB003,2
12/30/2025,TDW4680,18
12/30/2025,TD527030U,7
12/30/2025,TDWFP002,97
12/30/2025,TDW4680,54
12/30/2025,TD125060U,10
12/30/2025,TDW0910,1
12/30/2025,TD525060U,1
12/30/2025,TD360060U,1
12/30/2025,TD250060U,60
12/30/2025,TD250120U,25
12/30/2025,T172060U,13
12/30/2025,TDWFP003,120
12/30/2025,TDWFP028,196
12/30/2025,TDWFP002,24
12/30/2025,TDWFP004,3
12/30/2025,TDWFP016,7
12/30/2025,TDWB020,77
12/30/2025,TDWFP019.1,7
12/30/2025,TD360060U,1
12/30/2025,TD128090U,1
12/30/2025,TDW0910,31
12/30/2025,TDWFP029,20
12/30/2025,TD485060U,1
12/30/2025,TDWFP001,48
12/30/2025,TD523120U,6
12/30/2025,TDWFP003,2
12/30/2025,TDWFP021,1
12/30/2025,TD360060U,11
12/30/2025,TDW4680,3
12/30/2025,GYGR001,3
12/30/2025,TDWFP012,3
12/30/2025,TDWFP004,11
12/30/2025,TD125060U,3
12/30/2025,TDW2300,1
12/30/2025,TDWFP013,30
12/30/2025,TDWFP016,1
12/30/2025,TD250120U,3
12/30/2025,TDWFP015,16
12/30/2025,TDW0910,9
12/30/2025,TD482060U,1
12/30/2025,TDW2075,18
12/30/2025,TDWG003,1
12/30/2025,TDWB021,4
12/30/2025,TDWFP013,13
12/30/2025,TDWFP011,13
12/30/2025,TD760030U,4
12/30/2025,TDWFP010,19
12/30/2025,TD482060U,1
12/30/2025,TDWFP024,14
12/30/2025,TDWFP029,1
12/30/2025,TD266060U,5
12/30/2025,TDWFP001,117
12/30/2025,TDWFP008,12
12/30/2025,TDWFP010,44
12/30/2025,TDWFP012,1
12/30/2025,TDWFP024,64
12/30/2025,TD250060U,8
12/30/2025,TDWFP017,15
12/30/2025,T172060U,1
12/30/2025,TDWFP012,19
12/29/2025,TDWFP004,1
12/29/2025,GYGR002,1
12/29/2025,TDWFP001,32
12/29/2025,TD266060U,2
12/29/2025,TDWFP017,4
12/29/2025,TDWFP012,7
12/29/2025,TDWFP010,4
12/29/2025,TDWFP024,21
12/29/2025,TD128090U,2
12/29/2025,TD360060U,4
12/29/2025,TDWFP001,1
12/29/2025,TD482060U,1
12/29/2025,TDW2075,2
12/29/2025,TDWFP015,3
12/29/2025,TDWFP007,1
12/29/2025,TDW0910,1
12/29/2025,TDWFP024,4
12/29/2025,TDWFP013,1
12/29/2025,TDWFP011,2
12/29/2025,TDWFP004,3
12/29/2025,TDWFP024,5
12/29/2025,TD440060U,13
12/29/2025,TDWFP013,2
12/29/2025,TDWFP006,6
12/29/2025,TDW2075,14
12/29/2025,TDWFP001,8
12/29/2025,TD523120U,4
12/29/2025,TDWFP013,1
12/29/2025,TDWFP012,1
12/29/2025,TDWFP011,12
12/29/2025,TDWFP008,24
12/29/2025,TDW0910,1
12/29/2025,TD250060U,33
12/29/2025,TDWFP019.1,17
12/29/2025,TD440060U,1
12/29/2025,TDW0910,3
12/29/2025,TDWFP012,2
12/29/2025,TDWFP029,4
12/29/2025,TDWFP016,2
12/29/2025,TDWB020,4
12/29/2025,TD250060U,14
12/29/2025,TD250120U,5
12/29/2025,T172060U,5
12/29/2025,TDW4680,2
12/29/2025,TDWFP018,1
12/29/2025,TD125060U,5
12/29/2025,TD525060U,1
12/29/2025,TDW0910,3
12/29/2025,TDWFP002,2
12/29/2025,TDWFP016,1
12/29/2025,TDWFP029,2
12/29/2025,TDWFP003,35
12/29/2025,TDWFP010,42
12/29/2025,TDWFP028,53
12/29/2025,TDWFP023,1
12/29/2025,TDWG002,2
12/29/2025,TDW2300,2
12/29/2025,TD524120U,1
12/29/2025,TDWB003,1
12/29/2025,TDW4680,1
12/29/2025,TD527030U,3
12/29/2025,TDWFP002,24
12/29/2025,TD250120U,8
12/29/2025,TDW2075,2
12/29/2025,TDWFP018,2
12/29/2025,TDWFP010,51
12/29/2025,TDWFP021,4
12/29/2025,TDWFP003,2
12/29/2025,TDWFP029,7
12/29/2025,TD145060U,2
12/29/2025,TDW4680,5
12/29/2025,TD578060U,1
12/29/2025,TDWFP020,3
12/29/2025,TD527030U,2
12/29/2025,TDWFP019,8
12/29/2025,TDWFP021,1
12/29/2025,TD125030U,7
12/29/2025,TD635060U,1
12/29/2025,TDWFP023,3
12/29/2025,TDWFP028,1
12/29/2025,TDWFP009,5
12/29/2025,TDWFP007,3
12/29/2025,TDWB004,1
12/29/2025,TDWFP022,3
12/29/2025,TDWFP013,1
12/29/2025,TDWFP022,3
12/29/2025,TD125030U,1
12/29/2025,TD918060U,2
12/29/2025,TDWFP001,31
12/29/2025,TDWFP007,5
12/29/2025,TD250060U,4
12/29/2025,TD523120U,3
12/29/2025,TD559060U,1
12/29/2025,TDWFP014,4
12/29/2025,TDWFP022,8
12/29/2025,TDWFP008,9
12/29/2025,TD250120U,1
12/29/2025,TDWFP009,7
12/29/2025,TDWFP005,1
12/29/2025,TD760030U,1
12/29/2025,TDWFP006,5
12/29/2025,TD482060U,5
12/29/2025,TDWFP013,4
12/29/2025,TD525060U,7
12/29/2025,TDWFP023,1
12/29/2025,T172060U,4
12/29/2025,TD128090U,3
12/29/2025,TD440060U,2
12/29/2025,TDWG001,2
12/29/2025,TDWFP006,3
12/29/2025,TD578060U,2
12/29/2025,TD525060U,2
12/29/2025,TD718060U,4
12/29/2025,TDWFP018,1
12/29/2025,TDW4682,1
12/29/2025,TDWFP008,6
12/29/2025,TDW3670,1
12/29/2025,TDW2300,1
12/29/2025,TDWFP020,3
12/29/2025,TDWFP011,4
12/29/2025,TDWFP019,7
12/29/2025,TD527030U,9
12/29/2025,TDWFP007,10
12/29/2025,TDWM001,4
12/29/2025,TDWFP007,3
12/29/2025,TDWFP015,18
12/29/2025,TD524120U,3
12/29/2025,TDWFP011,5
12/29/2025,TDWB021,1
12/29/2025,TD128090U,1
12/29/2025,TDWFP005,1
12/29/2025,TDWFP019,4
12/29/2025,TDW4682,3
12/29/2025,TDWFP002,1
12/29/2025,TD125030U,4
12/29/2025,TDWFP016,3
12/29/2025,TD125060U,2
12/29/2025,TD440060U,3
12/29/2025,TDWFP021,6
12/29/2025,TDW3670,2
12/29/2025,TDWFP009,3
12/29/2025,TDWFP008,1
12/29/2025,TDW3670,1
12/29/2025,TDWFP024,1
12/29/2025,TD718060U,5
12/29/2025,TDWFP015,6
12/29/2025,TDWFP018,1
12/29/2025,TD578060U,2
12/29/2025,TDWFP002,34
12/28/2025,TD250060U,4
12/28/2025,TDWB002,1
12/28/2025,TDWFP015,20
12/28/2025,TD524120U,1
12/28/2025,TDWFP014,3
12/28/2025,TDWFP008,5
12/28/2025,TDWFP011,1
12/28/2025,TDWFP022,3
12/28/2025,TDWFP007,1
12/28/2025,TDWFP016,1
12/28/2025,TDWFP006,1
12/28/2025,TD125060U,3
12/28/2025,TD482060U,3
12/28/2025,TDWB019,2
12/28/2025,TDWFP002,28
12/28/2025,TDWFP006,7
12/28/2025,TD578060U,0
12/28/2025,TD128090U,1
12/28/2025,TD440060U,7
12/28/2025,TD525060U,4
12/28/2025,TD525060U,5
12/28/2025,TD527030U,1
12/28/2025,TDWFP021,1
12/28/2025,TD125030U,6
12/28/2025,TDWFP017,1
12/28/2025,TDWFP009,5
12/28/2025,TD718060U,1
12/28/2025,TDWFP023,1
12/28/2025,TD918060U,2
12/28/2025,TD145060U,1
12/28/2025,TDWFP022,1
12/28/2025,TDWFP002,1
12/28/2025,TDWFP007,3
12/28/2025,TDWFP007,3
12/28/2025,TD527030U,5
12/28/2025,TD128090U,1
12/28/2025,TD523120U,2
12/28/2025,TD125030U,3
12/28/2025,TDWFP009,1
12/28/2025,TDWFP021,5
12/28/2025,TDWB004,1
12/28/2025,TD440060U,1
12/28/2025,TDW3670,2
12/28/2025,T172060U,1
12/28/2025,TDWFP009,1
12/28/2025,TD718060U,3
12/28/2025,T172060U,6
12/28/2025,TDWFP013,4
12/28/2025,TDWFP015,12
12/28/2025,TDWFP018,4
12/28/2025,TDWFP006,1
12/28/2025,TDWFP020,2
12/28/2025,TDWFP002,1
12/28/2025,TDWB004,2
12/28/2025,TD125030U,10
12/28/2025,TDWFP004,1
12/28/2025,TDWFP008,1
12/28/2025,TDW2300,2
12/28/2025,TDWFP022,3
12/28/2025,TDWFP020,7
12/28/2025,TDWFP008,1
12/28/2025,TDWFP011,4
12/28/2025,TDWFP001,20
12/28/2025,TDWFP019,9
12/28/2025,TD918060U,2
12/28/2025,TDWM001,1
12/28/2025,TDW2300,7
12/28/2025,TD529060U,1
12/28/2025,TDW2300,5
12/28/2025,TDWFP004,2
12/28/2025,TDWFP023,1
12/28/2025,TD250120U,10
12/28/2025,TDWFP013,8
12/28/2025,TDWFP001,2
12/28/2025,TDWFP021,6
12/28/2025,TDWFP018,2
12/28/2025,TDWFP001,9
12/28/2025,TD523120U,3
12/28/2025,TDW4680,4
12/28/2025,TDWFP012,2
12/28/2025,TDWFP020,1
12/28/2025,TD145060U,1
12/28/2025,TD360060U,3
12/28/2025,TDWFP008,15
12/28/2025,TD266060U,1
12/28/2025,TDWFP001,34
12/28/2025,TDWFP011,4
12/28/2025,TDWFP012,7
12/28/2025,TDWFP017,4
12/28/2025,TDWFP024,15
12/28/2025,TDWFP010,6
12/28/2025,TD250060U,25
12/28/2025,TD440060U,0
12/28/2025,TDWFP024,2
12/28/2025,TDWFP012,1
12/28/2025,TDW2075,3
12/28/2025,TDWFP015,2
12/28/2025,TD482060U,1
12/28/2025,TDWFP020,1
12/28/2025,TDWFP010,27
12/28/2025,TDWFP013,1
12/28/2025,TDWFP029,1
12/28/2025,TD760030U,3
12/28/2025,TDWFP013,2
12/28/2025,TDWFP011,1
12/28/2025,TDWB021,1
12/28/2025,TDWG003,1
12/28/2025,TDW0910,5
12/28/2025,TD524120U,2
12/28/2025,TDWFP006,12
12/28/2025,TDW2075,11
12/28/2025,TD527030U,1
12/28/2025,TDWFP002,15
12/28/2025,TD440060U,7
12/28/2025,TDWFP024,5
12/28/2025,TD635060U,2
12/28/2025,TDWFP010,29
12/28/2025,TDWFP029,12
12/28/2025,TD578060U,2
12/28/2025,TDWFP004,3
12/28/2025,GYGR002,1
12/28/2025,TD360060U,5
12/28/2025,TD128090U,1
12/28/2025,TDWFP029,1
12/28/2025,TD485060U,1
12/28/2025,TDWFP019.1,4
12/28/2025,TDW0910,8
12/28/2025,TDWB020,9
12/28/2025,TDWFP016,2
12/28/2025,TD250120U,1
12/28/2025,T172060U,3
12/28/2025,TD250060U,9
12/28/2025,TD125060U,2
12/28/2025,TDWFP020,1
12/28/2025,TD360060U,1
12/28/2025,TD525060U,2
12/28/2025,TDW4680,14
12/28/2025,TDWFP002,3
12/28/2025,TDWFP028,51
12/28/2025,TDWFP003,15
12/28/2025,TD125060U,1
12/27/2025,TDWM001,1
12/27/2025,TD760030U,1
12/27/2025,TDWFP001,7
12/27/2025,TD523120U,4
12/27/2025,TDWB016,1
12/27/2025,TD718060U,3
12/27/2025,TD525060U,5
12/27/2025,TD360060U,1
12/27/2025,TD125060U,3
12/27/2025,TDWFP007,13
12/27/2025,TD527030U,13
12/27/2025,TDWFP004,4
12/27/2025,TDW3670,7
12/27/2025,TDWFP016,1
12/27/2025,TDWFP013,6
12/27/2025,TDWFP003,2
12/27/2025,TDW2075,4
12/27/2025,TDWFP015,3
12/27/2025,TDW0910,1
12/27/2025,TDWFP016,2
12/27/2025,TD524120U,4
12/27/2025,TDWFP024,1
12/27/2025,TDWFP015,15
12/27/2025,TDWFP011,6
12/27/2025,TD760030U,2
12/27/2025,TDWFP013,2
12/27/2025,TDWB021,1
12/27/2025,TD578060U,1
12/27/2025,TDWFP002,33
12/27/2025,TD266060U,1
12/27/2025,TDWFP001,20
12/27/2025,TDWFP012,1
12/27/2025,T172060U,1
12/27/2025,TDWFP017,2
12/27/2025,T172060U,1
12/27/2025,TDWFP024,16
12/27/2025,TD125060U,5
12/27/2025,TDWFP010,14
12/27/2025,TDWFP024,1
12/27/2025,TDWFP028,3
12/27/2025,TDWFP010,28
12/27/2025,TD125030U,17
12/27/2025,TD918060U,1
12/27/2025,TDWFP029,7
12/27/2025,TDWFP020,3
12/27/2025,TDWFP019,3
12/27/2025,TD578060U,1
12/27/2025,TDWFP001,23
12/27/2025,TD918060U,2
12/27/2025,TDWB003,1
12/27/2025,TDWFP002,21
12/27/2025,TD527030U,3
12/27/2025,TDW4680,1
12/27/2025,TDWFP022,9
12/27/2025,TD250120U,1
12/27/2025,T172060U,3
12/27/2025,TD250060U,9
12/27/2025,TD125060U,2
12/27/2025,TD360060U,1
12/27/2025,TDW4680,6
12/27/2025,TDWB007,1
12/27/2025,TDWFP002,6
12/27/2025,TDWB014,1
12/27/2025,TDWFP028,46
12/27/2025,TDWFP003,12
12/27/2025,TD523120U,3
12/27/2025,T172060U,6
12/27/2025,TDWFP013,1
12/27/2025,TDWFP029,3
12/27/2025,TDWFP019.1,11
12/27/2025,TDWFP009,3
12/27/2025,TD266060U,1
12/27/2025,TDW0910,9
12/27/2025,TDWFP005,4
12/27/2025,TDWB020,2
12/27/2025,TDWFP016,1
12/27/2025,TD250060U,74
12/27/2025,TDWFP012,6
12/27/2025,TD482060U,1
12/27/2025,TDWB019,1
12/27/2025,TDWFP008,18
12/27/2025,TDWFP006,4
12/27/2025,TD128090U,1
12/27/2025,TD440060U,4
12/27/2025,TD525060U,1
12/27/2025,TDWFP006,2
12/27/2025,TDWFP011,10
12/27/2025,TDWFP029,2
12/27/2025,TD250060U,3
12/27/2025,TDWFP010,54
12/27/2025,TD482060U,3
12/27/2025,TDWM001,1
12/27/2025,TDW0910,4
12/27/2025,TDWFP014,1
12/27/2025,TDWFP008,16
12/27/2025,TDWFP022,2
12/27/2025,TDWFP002,2
12/27/2025,TD524120U,2
12/27/2025,TDWB006,1
12/27/2025,TDWFP020,1
12/27/2025,TD250120U,17
12/27/2025,TDWFP002,1
12/27/2025,TD523120U,3
12/27/2025,TDW2300,5
12/27/2025,TDWFP023,1
12/27/2025,TDWFP007,6
12/27/2025,TD145060U,3
12/27/2025,TDW4680,13
12/27/2025,TD250120U,2
12/27/2025,TD527030U,1
12/27/2025,TDWFP018,2
12/27/2025,TDWFP021,2
12/27/2025,TD125030U,5
12/27/2025,TDWFP021,3
12/27/2025,TDWFP009,3
12/27/2025,TD485060U,1
12/27/2025,TDWFP021,2
12/27/2025,TD360060U,4
12/27/2025,TDW3670,9
12/27/2025,TDWB003,3
12/27/2025,TDWFP009,1
12/27/2025,TDW3670,1
12/27/2025,TD718060U,4
12/27/2025,TDWFP004,3
12/27/2025,TDWFP015,15
12/27/2025,TDW3670,1
12/27/2025,TDWFP018,3
12/27/2025,TDWFP007,2
12/27/2025,TDWFP005,1
12/27/2025,TDWFP019,3
12/27/2025,GYGR002,2
12/27/2025,TD440060U,15
12/27/2025,TDWFP006,4
12/27/2025,TDW2075,8
12/27/2025,TDWFP020,4
12/27/2025,TDWFP024,7
12/27/2025,TDWFP011,14
12/27/2025,TDWFP019,9
12/27/2025,TDW2300,2
12/27/2025,TDWM001,4
12/27/2025,TDWFP006,2
12/27/2025,TD578060U,1
12/27/2025,TDW3670,1
12/27/2025,TDWFP018,2
12/26/2025,TD918060U,2
12/26/2025,TDWFP006,14
12/26/2025,TDW2075,11
12/26/2025,TD523120U,1
12/26/2025,TD440060U,2
12/26/2025,TDWFP008,2
12/26/2025,TD145060U,1
12/26/2025,TDWFP022,1
12/26/2025,TDWFP012.1,1
12/26/2025,TD266060U,1
12/26/2025,TDWFP006,1
12/26/2025,TDWFP007,2
12/26/2025,TD250120U,3
12/26/2025,TDWFP020,1
12/26/2025,TDWFP002,1
12/26/2025,TD125030U,2
12/26/2025,TDWFP023,7
12/26/2025,TDWFP009,1
12/26/2025,TD360060U,4
12/26/2025,TDWFP006,3
12/26/2025,TD250060U,3
12/26/2025,TDWFP022,3
12/26/2025,TDWFP008,2
12/26/2025,TDWFP020,1
12/26/2025,TDWFP008,3
12/26/2025,TD250120U,9
12/26/2025,TDW2300,4
12/26/2025,TDWFP020,2
12/26/2025,TDWFP011,18
12/26/2025,TDWFP019,4
12/26/2025,TDW2300,3
12/26/2025,TDWM001,4
12/26/2025,TDWFP006,1
12/26/2025,TDW4680,3
12/26/2025,TD266060U,1
12/26/2025,TDWFP021,4
12/26/2025,TDWFP004,1
12/26/2025,TDWFP018,3
12/26/2025,TDWB004,1
12/26/2025,TD440060U,1
12/26/2025,TD250060U,29
12/26/2025,TDWFP012,2
12/26/2025,TDWFP021,2
12/26/2025,TDW3670,3
12/26/2025,TDWFP011,13
12/26/2025,TDW3670,1
12/26/2025,TDWFP015,3
12/26/2025,TDWFP018,2
12/26/2025,TDWFP008,16
12/26/2025,TDW0910,2
12/26/2025,TDWFP010,25
12/26/2025,TDWFP007,1
12/26/2025,TDWFP029,1
12/26/2025,TDWFP005,1
12/26/2025,TDWFP019,2
12/26/2025,TD125030U,1
12/26/2025,GYGR002,1
12/26/2025,TDW2075,1
12/26/2025,TD482060U,1
12/26/2025,TDWFP015,1
12/26/2025,TDW0910,2
12/26/2025,TD523120U,1
12/26/2025,TDWT001,1
12/26/2025,TDWB021,1
12/26/2025,TDWG003,3
12/26/2025,TDWFP013,3
12/26/2025,TDWFP013,2
12/26/2025,TDWFP001,19
12/26/2025,TD266060U,1
12/26/2025,T172060U,1
12/26/2025,T172060U,2
12/26/2025,TDWFP012,4
12/26/2025,TDWFP003,1
12/26/2025,TDWFP010,7
12/26/2025,TDWFP009,4
12/26/2025,TD266060U,1
12/26/2025,TD250060U,1
12/26/2025,TDWFP005,3
12/26/2025,TDWFP024,17
12/26/2025,TD125030U,10
12/26/2025,TDWB004,1
12/26/2025,TDWFP001,6
12/26/2025,GYGR001,1
12/26/2025,TDWFP012,1
12/26/2025,TDWFP019,4
12/26/2025,TD360060U,3
12/26/2025,TD524120U,1
12/26/2025,TDWFP020,2
12/26/2025,TDWFP010,2
12/26/2025,TD529060U,1
12/26/2025,TD918060U,3
12/26/2025,TD125060U,2
12/26/2025,TDWFP008,1
12/26/2025,TDWFP001,23
12/26/2025,TDWFP004,3
12/26/2025,TDWFP022,9
12/26/2025,T172060U,1
12/26/2025,TDWFP013,10
12/26/2025,TD250060U,8
12/26/2025,TD250120U,8
12/26/2025,T172060U,3
12/26/2025,TDW4680,9
12/26/2025,TD125060U,4
12/26/2025,TDWFP002,2
12/26/2025,TDWFP011,8
12/26/2025,TDWFP003,24
12/26/2025,TD524120U,1
12/26/2025,TDWFP015,6
12/26/2025,TDWFP028,40
12/26/2025,GYGR001,1
12/26/2025,TDWFP002,19
12/26/2025,TD578060U,4
12/26/2025,TDW0910,15
12/26/2025,TD125060U,3
12/26/2025,TDWFP029,1
12/26/2025,TDWFP016,2
12/26/2025,TDWB020,6
12/26/2025,TDWFP006,1
12/26/2025,TD718060U,1
12/26/2025,TDW2075,1
12/26/2025,TD718060U,1
12/26/2025,TDWFP010,25
12/26/2025,TDWFP029,9
12/26/2025,GYGR001,1
12/26/2025,TD578060U,1
12/26/2025,TD527030U,6
12/26/2025,TDWFP007,6
12/26/2025,TDWFP002,8
12/26/2025,TDW4680,1
12/26/2025,TDW3670,3
12/25/2025,TDWFP016,1
12/25/2025,TDWFP024,1
12/25/2025,TDWB021,1
12/25/2025,TDW2075,1
12/25/2025,TDWFP015,4
12/25/2025,TD524120U,1
12/25/2025,TDWFP015,1
12/25/2025,TDWFP017,2
12/25/2025,TDWFP012,3
12/25/2025,TDWFP002,17
12/25/2025,TDWFP010,4
12/25/2025,TD578060U,2
12/25/2025,TDWFP024,4
12/25/2025,TD125060U,3
12/25/2025,TDWFP001,8
12/25/2025,TD718060U,3
12/25/2025,TDWFP009,4
12/25/2025,TDWFP007,4
12/25/2025,TDWFP001,3
12/25/2025,TD527030U,8
12/25/2025,TDWFP007,7
12/25/2025,TDWFP013,2
