,Day,SKU,Sold,Price,Cost,Status
54,2025-12-30,TDWFP023,6,13.26,7.89,1
55,2025-12-30,TDWFP006,52,14.39,9.52,1
56,2025-12-30,TDWFP016,8,22.8,20.75,1
57,2025-12-30,TD250060U,88,49.94,29.87,1
58,2025-12-30,TDWFP001,182,43.92,11.16,1
59,2025-12-30,TDWFP008,93,45.39,12.37,1
60,2025-12-30,TDWFP021,29,38.1,8.81,1
61,2025-12-30,TDWFP014,72,35.79,22.5,1
62,2025-12-30,TDWFP007,88,49.93,7.79,1
63,2025-12-30,TDWFP003,123,32.46,9.59,1
64,2025-12-30,TDW2300,9,12.9,9.83,1
65,2025-12-29,TDWFP015,27,47.34,39.14,1
66,2025-12-29,TDWFP002,61,33.86,23.15,1
67,2025-12-29,TDWFP021,11,38.1,8.81,1
68,2025-12-29,TDW0910,8,49.86,13.92,1
69,2025-12-29,TDW3670,4,18.07,15.4,1
70,2025-12-29,TD360060U,4,49.93,25.28,1
71,2025-12-29,TDWFP004,4,46.44,37.04,1
72,2025-12-29,TDWFP006,14,14.39,9.52,1
73,2025-12-29,TDWFP020,6,48.09,28.37,1
74,2025-12-29,TDWFP019,19,10.87,2.22,1
75,2025-12-29,TD125030U,12,13.26,3.48,1
76,2025-12-29,TDWFP011,23,25.3,14.13,1
77,2025-12-29,TDWFP023,5,13.26,7.89,1
78,2025-12-29,TDWFP008,40,45.39,12.37,1
79,2025-12-29,TDWFP009,15,11.95,5.79,1
80,2025-12-29,TDW4680,8,33.04,1.56,1
81,2025-12-29,TD125060U,7,49.75,43.82,1
82,2025-12-29,TDWFP024,31,17.18,1.27,1
83,2025-12-29,TDW2075,18,18.98,4.13,1
84,2025-12-29,TD527030U,14,19.57,10.02,1
85,2025-12-29,TDWFP016,6,22.8,20.75,1
86,2025-12-29,TDWFP003,37,32.46,9.59,1
87,2025-12-29,TDW2300,3,12.9,9.83,1
88,2025-12-29,TD250120U,14,43.48,34.45,1
89,2025-12-29,TD440060U,19,31.56,29.85,1
90,2025-12-29,TDWFP010,97,43.28,30.23,1
91,2025-12-29,TDWFP007,22,49.93,7.79,1
92,2025-12-29,TDWFP001,72,43.92,11.16,1
93,2025-12-29,TDWFP022,14,43.51,7.48,1
94,2025-12-29,TDWFP014,4,35.79,22.5,1
95,2025-12-29,TD250060U,51,49.94,29.87,1
96,2025-12-29,T172060U,9,17.61,7.17,1
97,2025-12-29,TDWFP012,10,42.57,32.61,1
98,2025-12-28,TDWFP022,7,43.51,7.48,1
99,2025-12-28,TDWFP010,62,43.28,30.23,1
100,2025-12-28,T172060U,10,17.61,7.17,1
101,2025-12-28,TDWFP011,10,25.3,14.13,1
102,2025-12-28,TDWFP008,22,45.39,12.37,1
103,2025-12-28,TDWFP009,7,11.95,5.79,1
104,2025-12-28,TD250120U,11,43.48,34.45,1
105,2025-12-28,TDWFP012,10,42.57,32.61,1
106,2025-12-28,TDWFP024,22,17.18,1.27,1
107,2025-12-28,TDWFP004,6,46.44,37.04,1
108,2025-12-28,TD527030U,7,19.57,10.02,1
109,2025-12-28,TDW2075,14,18.98,4.13,1
110,2025-12-28,TDWFP016,3,22.8,20.75,1
111,2025-12-28,TD250060U,38,49.94,29.87,1
112,2025-12-28,TDWFP003,15,32.46,9.59,1
113,2025-12-28,TDWFP002,48,33.86,23.15,1
114,2025-12-28,TDWFP023,2,13.26,7.89,1
115,2025-12-28,TDW3670,2,18.07,15.4,1
116,2025-12-28,TDWFP007,7,49.93,7.79,1
117,2025-12-28,TDWFP014,3,35.79,22.5,1
118,2025-12-28,TD360060U,9,49.93,25.28,1
119,2025-12-28,TD125030U,19,13.26,3.48,1
120,2025-12-28,TDW0910,13,49.86,13.92,1
121,2025-12-28,TDWFP015,34,47.34,39.14,1
122,2025-12-28,TDWFP001,65,43.92,11.16,1
123,2025-12-28,TDWFP020,12,48.09,28.37,1
124,2025-12-28,TD440060U,15,31.56,29.85,1
125,2025-12-28,TDWFP021,12,38.1,8.81,1
126,2025-12-28,TDWFP019,9,10.87,2.22,1
127,2025-12-28,TD125060U,6,49.75,43.82,1
128,2025-12-28,TDW2300,14,12.9,9.83,1
129,2025-12-28,TDW4680,18,33.04,1.56,1
130,2025-12-28,TDWFP006,21,14.39,9.52,1
131,2025-12-27,TD360060U,6,49.93,25.28,1
132,2025-12-27,TDWFP021,7,38.1,8.81,1
133,2025-12-27,TDWFP007,21,49.93,7.79,1
134,2025-12-27,TDW2075,12,18.98,4.13,1
135,2025-12-27,TDWFP024,25,17.18,1.27,1
136,2025-12-27,TD125060U,10,49.75,43.82,1
137,2025-12-27,TDWFP015,33,47.34,39.14,1
138,2025-12-27,TDWFP022,11,43.51,7.48,1
139,2025-12-27,TDW4680,20,33.04,1.56,1
140,2025-12-27,TDWFP001,50,43.92,11.16,1
141,2025-12-27,TDWFP002,63,33.86,23.15,1
142,2025-12-27,TDWFP016,4,22.8,20.75,1
143,2025-12-27,TDWFP003,14,32.46,9.59,1
144,2025-12-27,TD250060U,86,49.94,29.87,1
145,2025-12-27,TDWFP004,7,46.44,37.04,1
146,2025-12-27,TDWFP012,7,42.57,32.61,1
147,2025-12-27,T172060U,11,17.61,7.17,1
148,2025-12-27,TDWFP014,1,35.79,22.5,1
149,2025-12-27,TD440060U,19,31.56,29.85,1
150,2025-12-27,TDWFP023,1,13.26,7.89,1
151,2025-12-27,TDW2300,7,12.9,9.83,1
152,2025-12-27,TDW0910,14,49.86,13.92,1
153,2025-12-27,TD527030U,17,19.57,10.02,1
154,2025-12-27,TDWFP006,12,14.39,9.52,1
155,2025-12-27,TDWFP010,96,43.28,30.23,1
156,2025-12-27,TDW3670,19,18.07,15.4,1
157,2025-12-27,TDWFP020,8,48.09,28.37,1
158,2025-12-27,TDWFP019,15,10.87,2.22,1
159,2025-12-27,TD125030U,22,13.26,3.48,1
160,2025-12-27,TDWFP009,7,11.95,5.79,1
161,2025-12-27,TDWFP008,34,45.39,12.37,1
162,2025-12-27,TDWFP011,30,25.3,14.13,1
163,2025-12-27,TD250120U,20,43.48,34.45,1
164,2025-12-26,TD360060U,7,49.93,25.28,1
165,2025-12-26,TD125060U,9,49.75,43.82,1
166,2025-12-26,TDW3670,7,18.07,15.4,1
167,2025-12-26,TDWFP022,13,43.51,7.48,1
168,2025-12-26,TD440060U,3,31.56,29.85,1
169,2025-12-26,TDWFP011,39,25.3,14.13,1
170,2025-12-26,TD250120U,20,43.48,34.45,1
171,2025-12-26,TDWFP006,20,14.39,9.52,1
172,2025-12-26,TDW2075,13,18.98,4.13,1
173,2025-12-26,TDWFP010,59,43.28,30.23,1
174,2025-12-26,TDWFP016,2,22.8,20.75,1
175,2025-12-26,TDWFP004,4,46.44,37.04,1
176,2025-12-26,T172060U,7,17.61,7.17,1
177,2025-12-26,TDWFP012,7,42.57,32.61,1
178,2025-12-26,TDWFP023,7,13.26,7.89,1
179,2025-12-26,TDW2300,7,12.9,9.83,1
180,2025-12-26,TDW0910,19,49.86,13.92,1
181,2025-12-26,TDWFP001,48,43.92,11.16,1
182,2025-12-26,TDWFP003,25,32.46,9.59,1
183,2025-12-26,TDWFP020,6,48.09,28.37,1
184,2025-12-26,TD125030U,13,13.26,3.48,1
185,2025-12-26,TDWFP002,30,33.86,23.15,1
186,2025-12-26,TDWFP009,5,11.95,5.79,1
187,2025-12-26,TDWFP019,10,10.87,2.22,1
188,2025-12-26,TD250060U,41,49.94,29.87,1
189,2025-12-26,TDWFP007,9,49.93,7.79,1
190,2025-12-26,TDWFP021,6,38.1,8.81,1
191,2025-12-26,TDWFP024,17,17.18,1.27,1
192,2025-12-26,TDWFP008,24,45.39,12.37,1
193,2025-12-26,TDWFP015,10,47.34,39.14,1
194,2025-12-26,TD527030U,6,19.57,10.02,1
195,2025-12-26,TDW4680,13,33.04,1.56,1
196,2025-12-25,TDW4680,19,33.04,1.56,1
197,2025-12-25,TDWFP004,2,46.44,37.04,1
198,2025-12-25,TDWFP021,5,38.1,8.81,1
199,2025-12-25,TDWFP006,14,14.39,9.52,1
200,2025-12-25,TDWFP012,5,42.57,32.61,1
201,2025-12-25,TDWFP014,1,35.79,22.5,1
202,2025-12-25,TDWFP008,18,45.39,12.37,1
203,2025-12-25,TD125060U,6,49.75,43.82,1
204,2025-12-25,TD527030U,9,19.57,10.02,1
205,2025-12-25,TDWFP003,17,32.46,9.59,1
206,2025-12-25,TDWFP020,7,48.09,28.37,1
207,2025-12-25,TDWFP024,7,17.18,1.27,1
208,2025-12-25,TDWFP022,7,43.51,7.48,1
209,2025-12-25,TDW3670,3,18.07,15.4,1
210,2025-12-25,TDWFP010,47,43.28,30.23,1
211,2025-12-25,TDWFP019,8,10.87,2.22,1
212,2025-12-25,TDWFP016,2,22.8,20.75,1
213,2025-12-25,TD250060U,29,49.94,29.87,1
214,2025-12-25,TDWFP009,7,11.95,5.79,1
215,2025-12-25,TDWFP001,35,43.92,11.16,1
216,2025-12-25,TDWFP011,22,25.3,14.13,1
217,2025-12-25,TD250120U,10,43.48,34.45,1
218,2025-12-25,TDWFP023,1,13.26,7.89,1
219,2025-12-25,TDWFP015,9,47.34,39.14,1
220,2025-12-25,TDW0910,12,49.86,13.92,1
221,2025-12-25,TD360060U,3,49.93,25.28,1
222,2025-12-25,TD125030U,8,13.26,3.48,1
223,2025-12-25,TDW2300,5,12.9,9.83,1
224,2025-12-25,T172060U,3,17.61,7.17,1
225,2025-12-25,TD440060U,6,31.56,29.85,1
226,2025-12-25,TDWFP007,15,49.93,7.79,1
227,2025-12-25,TDW2075,10,18.98,4.13,1
228,2025-12-25,TDWFP002,31,33.86,23.15,1
229,2025-12-24,TDWFP021,5,38.1,8.81,1
230,2025-12-24,TDWFP010,39,43.28,30.23,1
231,2025-12-24,TDWFP023,2,13.26,7.89,1
232,2025-12-24,TDWFP008,19,45.39,12.37,1
233,2025-12-24,TDWFP007,15,49.93,7.79,1
234,2025-12-24,TD360060U,3,49.93,25.28,1
235,2025-12-24,TDWFP022,2,43.51,7.48,1
236,2025-12-24,TDWFP014,3,35.79,22.5,1
237,2025-12-24,TDWFP001,35,43.92,11.16,1
238,2025-12-24,TD250060U,26,49.94,29.87,1
239,2025-12-24,TDW4680,3,33.04,1.56,1
240,2025-12-24,TDWFP002,32,33.86,23.15,1
241,2025-12-24,TDWFP011,5,25.3,14.13,1
242,2025-12-24,TD125060U,4,49.75,43.82,1
243,2025-12-24,TDWFP024,5,17.18,1.27,1
244,2025-12-24,TDW2075,12,18.98,4.13,1
245,2025-12-24,TDWFP003,8,32.46,9.59,1
246,2025-12-24,TDWFP009,1,11.95,5.79,1
247,2025-12-24,TDWFP016,1,22.8,20.75,1
248,2025-12-24,TDWFP019,12,10.87,2.22,1
249,2025-12-24,TDW2300,4,12.9,9.83,1
250,2025-12-24,TD125030U,18,13.26,3.48,1
251,2025-12-24,TD527030U,7,19.57,10.02,1
252,2025-12-24,TDWFP020,4,48.09,28.37,1
253,2025-12-24,TDWFP015,7,47.34,39.14,1
254,2025-12-24,TDW0910,1,49.86,13.92,1
255,2025-12-24,TDWFP004,11,46.44,37.04,1
256,2025-12-24,T172060U,2,17.61,7.17,1
257,2025-12-24,TDWFP006,11,14.39,9.52,1
258,2025-12-24,TDWFP012,3,42.57,32.61,1
259,2025-12-24,TD250120U,11,43.48,34.45,1
260,2025-12-24,TD440060U,9,31.56,29.85,1
261,2025-12-24,TDW3670,10,18.07,15.4,1
262,2025-12-23,TDW2075,8,18.98,4.13,1
263,2025-12-23,TDWFP024,6,17.18,1.27,1
264,2025-12-23,TDWFP007,16,49.93,7.79,1
265,2025-12-23,TDWFP003,18,32.46,9.59,1
266,2025-12-23,T172060U,1,17.61,7.17,1
267,2025-12-23,TDWFP010,58,43.28,30.23,1
268,2025-12-23,TDWFP016,4,22.8,20.75,1
269,2025-12-23,TDWFP001,39,43.92,11.16,1
270,2025-12-23,TDWFP012,4,42.57,32.61,1
271,2025-12-23,TD250060U,33,49.94,29.87,1
272,2025-12-23,TDW3670,6,18.07,15.4,1
273,2025-12-23,TDWFP021,5,38.1,8.81,1
274,2025-12-23,TDWFP009,7,11.95,5.79,1
275,2025-12-23,TDWFP008,19,45.39,12.37,1
276,2025-12-23,TD125030U,8,13.26,3.48,1
277,2025-12-23,TD125060U,8,49.75,43.82,1
278,2025-12-23,TDWFP006,13,14.39,9.52,1
279,2025-12-23,TDWFP022,8,43.51,7.48,1
280,2025-12-23,TD250120U,9,43.48,34.45,1
281,2025-12-23,TDWFP011,7,25.3,14.13,1
282,2025-12-23,TDW4680,8,33.04,1.56,1
283,2025-12-23,TD527030U,8,19.57,10.02,1
284,2025-12-23,TDWFP020,2,48.09,28.37,1
285,2025-12-23,TDWFP023,4,13.26,7.89,1
286,2025-12-23,TDWFP014,1,35.79,22.5,1
287,2025-12-23,TDWFP019,9,10.87,2.22,1
288,2025-12-23,TDWFP002,39,33.86,23.15,1
289,2025-12-23,TDWFP015,12,47.34,39.14,1
290,2025-12-23,TD440060U,9,31.56,29.85,1
291,2025-12-23,TD360060U,1,49.93,25.28,1
292,2025-12-23,TDW2300,3,12.9,9.83,1
293,2025-12-23,TDW0910,7,49.86,13.92,1
294,2025-12-23,TDWFP004,4,46.44,37.04,1
295,2025-12-22,TDWFP024,13,17.18,1.27,1
296,2025-12-22,T172060U,11,17.61,7.17,1
297,2025-12-22,TDW3670,4,18.07,15.4,1
298,2025-12-22,TDWFP015,26,47.34,39.14,1
299,2025-12-22,TD440060U,6,31.56,29.85,1
300,2025-12-22,TD527030U,8,19.57,10.02,1
301,2025-12-22,TDW2075,12,18.98,4.13,1
302,2025-12-22,TD125060U,6,49.75,43.82,1
303,2025-12-22,TDWFP016,4,22.8,20.75,1
304,2025-12-22,TDW0910,10,49.86,13.92,1
305,2025-12-22,TDWFP009,6,11.95,5.79,1
306,2025-12-22,TDW2300,4,12.9,9.83,1
307,2025-12-22,TDWFP020,7,48.09,28.37,1
308,2025-12-22,TDWFP019,7,10.87,2.22,1
309,2025-12-22,TDWFP004,3,46.44,37.04,1
310,2025-12-22,TD250060U,37,49.94,29.87,1
311,2025-12-22,TDWFP003,24,32.46,9.59,1
312,2025-12-22,TD125030U,17,13.26,3.48,1
313,2025-12-22,TDWFP007,33,49.93,7.79,1
314,2025-12-22,TDWFP014,1,35.79,22.5,1
315,2025-12-22,TDWFP010,56,43.28,30.23,1
316,2025-12-22,TDWFP012,7,42.57,32.61,1
317,2025-12-22,TD360060U,4,49.93,25.28,1
318,2025-12-22,TDWFP021,4,38.1,8.81,1
319,2025-12-22,TD250120U,12,43.48,34.45,1
320,2025-12-22,TDWFP022,5,43.51,7.48,1
321,2025-12-22,TDWFP002,52,33.86,23.15,1
322,2025-12-22,TDW4680,5,33.04,1.56,1
323,2025-12-22,TDWFP006,11,14.39,9.52,1
324,2025-12-22,TDWFP001,70,43.92,11.16,1
325,2025-12-22,TDWFP011,13,25.3,14.13,1
326,2025-12-22,TDWFP023,0,13.26,7.89,1
327,2025-12-22,TDWFP008,28,45.39,12.37,1
328,2025-12-21,TDWFP004,13,46.44,37.04,1
329,2025-12-21,TDW0910,7,49.86,13.92,1
330,2025-12-21,TDWFP019,8,10.87,2.22,1
331,2025-12-21,TDWFP022,4,43.51,7.48,1
332,2025-12-21,TDWFP020,10,48.09,28.37,1
333,2025-12-21,TD250120U,17,43.48,34.45,1
334,2025-12-21,TDWFP014,1,35.79,22.5,1
335,2025-12-21,TD250060U,47,49.94,29.87,1
336,2025-12-21,TDW2300,9,12.9,9.83,1
337,2025-12-21,TDWFP011,13,25.3,14.13,1
338,2025-12-21,TDWFP021,16,38.1,8.81,1
339,2025-12-21,TD360060U,3,49.93,25.28,1
340,2025-12-21,TDWFP012,9,42.57,32.61,1
341,2025-12-21,TDWFP009,3,11.95,5.79,1
342,2025-12-21,TDWFP007,19,49.93,7.79,1
343,2025-12-21,TDWFP023,5,13.26,7.89,1
344,2025-12-21,TDWFP016,6,22.8,20.75,1
345,2025-12-21,TD527030U,7,19.57,10.02,1
346,2025-12-21,TDWFP002,47,33.86,23.15,1
347,2025-12-21,T172060U,4,17.61,7.17,1
348,2025-12-21,TDWFP015,15,47.34,39.14,1
349,2025-12-21,TDWFP008,21,45.39,12.37,1
350,2025-12-21,TDWFP006,16,14.39,9.52,1
351,2025-12-21,TD125030U,17,13.26,3.48,1
352,2025-12-21,TDW2075,16,18.98,4.13,1
353,2025-12-21,TDWFP001,49,43.92,11.16,1
354,2025-12-21,TDW4680,13,33.04,1.56,1
355,2025-12-21,TD125060U,2,49.75,43.82,1
356,2025-12-21,TDWFP010,57,43.28,30.23,1
357,2025-12-21,TDW3670,8,18.07,15.4,1
358,2025-12-21,TDWFP003,37,32.46,9.59,1
359,2025-12-21,TDWFP024,12,17.18,1.27,1
360,2025-12-21,TD440060U,8,31.56,29.85,1
361,2025-12-20,TDWFP004,6,46.44,37.04,1
362,2025-12-20,TD527030U,11,19.57,10.02,1
363,2025-12-20,TDWFP012,3,42.57,32.61,1
364,2025-12-20,TDWFP016,3,22.8,20.75,1
365,2025-12-20,T172060U,7,17.61,7.17,1
366,2025-12-20,TDWFP014,2,35.79,22.5,1
367,2025-12-20,TD125060U,5,49.75,43.82,1
368,2025-12-20,TDWFP020,5,48.09,28.37,1
369,2025-12-20,TDW0910,7,49.86,13.92,1
370,2025-12-20,TDWFP003,41,32.46,9.59,1
371,2025-12-20,TDWFP023,3,13.26,7.89,1
372,2025-12-20,TDWFP001,43,43.92,11.16,1
373,2025-12-20,TD125030U,9,13.26,3.48,1
374,2025-12-20,TDW3670,8,18.07,15.4,1
375,2025-12-20,TDWFP011,26,25.3,14.13,1
376,2025-12-20,TD250120U,13,43.48,34.45,1
377,2025-12-20,TDWFP024,18,17.18,1.27,1
378,2025-12-20,TDW2075,9,18.98,4.13,1
379,2025-12-20,TDWFP022,5,43.51,7.48,1
380,2025-12-20,TDWFP008,25,45.39,12.37,1
381,2025-12-20,TD440060U,16,31.56,29.85,1
382,2025-12-20,TDWFP006,24,14.39,9.52,1
383,2025-12-20,TDW4680,9,33.04,1.56,1
384,2025-12-20,TDWFP002,44,33.86,23.15,1
385,2025-12-20,TDWFP009,4,11.95,5.79,1
386,2025-12-20,TDWFP007,20,49.93,7.79,1
387,2025-12-20,TDWFP021,6,38.1,8.81,1
388,2025-12-20,TDW2300,13,12.9,9.83,1
389,2025-12-20,TD360060U,4,49.93,25.28,1
390,2025-12-20,TDWFP019,12,10.87,2.22,1
391,2025-12-20,TDWFP010,73,43.28,30.23,1
392,2025-12-20,TD250060U,41,49.94,29.87,1
393,2025-12-20,TDWFP015,23,47.34,39.14,1
394,2025-12-19,TDWFP014,5,35.79,22.5,1
395,2025-12-19,TDWFP021,9,38.1,8.81,1
396,2025-12-19,TDWFP022,10,43.51,7.48,1
397,2025-12-19,TDWFP011,19,25.3,14.13,1
398,2025-12-19,TD527030U,7,19.57,10.02,1
399,2025-12-19,TD125060U,5,49.75,43.82,1
400,2025-12-19,TDWFP012,4,42.57,32.61,1
401,2025-12-19,TDWFP024,14,17.18,1.27,1
402,2025-12-19,TDWFP023,3,13.26,7.89,1
403,2025-12-19,TDWFP006,11,14.39,9.52,1
404,2025-12-19,TDW3670,6,18.07,15.4,1
405,2025-12-19,TD250120U,12,43.48,34.45,1
406,2025-12-19,T172060U,7,17.61,7.17,1
407,2025-12-19,TDWFP007,17,49.93,7.79,1
408,2025-12-19,TD250060U,41,49.94,29.87,1
409,2025-12-19,TD360060U,1,49.93,25.28,1
410,2025-12-19,TDWFP004,5,46.44,37.04,1
411,2025-12-19,TDWFP015,16,47.34,39.14,1
412,2025-12-19,TDWFP009,6,11.95,5.79,1
413,2025-12-19,TDWFP001,46,43.92,11.16,1
414,2025-12-19,TDW2300,3,12.9,9.83,1
415,2025-12-19,TDWFP016,4,22.8,20.75,1
416,2025-12-19,TDWFP020,22,48.09,28.37,1
417,2025-12-19,TD440060U,7,31.56,29.85,1
418,2025-12-19,TDWFP019,12,10.87,2.22,1
419,2025-12-19,TDWFP003,33,32.46,9.59,1
420,2025-12-19,TDW0910,3,49.86,13.92,1
421,2025-12-19,TDW4680,7,33.04,1.56,1
422,2025-12-19,TDWFP008,27,45.39,12.37,1
423,2025-12-19,TDWFP002,37,33.86,23.15,1
424,2025-12-19,TD125030U,19,13.26,3.48,1
425,2025-12-19,TDWFP010,73,43.28,30.23,1
426,2025-12-19,TDW2075,7,18.98,4.13,1
427,2025-12-18,TDWFP009,7,11.95,5.79,1
428,2025-12-18,TDWFP012,11,42.57,32.61,1
429,2025-12-18,TDWFP007,26,49.93,7.79,1
430,2025-12-18,TD250060U,30,49.94,29.87,1
431,2025-12-18,TD125030U,8,13.26,3.48,1
432,2025-12-18,TD440060U,13,31.56,29.85,1
433,2025-12-18,TDWFP003,55,32.46,9.59,1
434,2025-12-18,TDW2075,13,18.98,4.13,1
435,2025-12-18,TDWFP006,24,14.39,9.52,1
436,2025-12-18,TDWFP024,29,17.18,1.27,1
437,2025-12-18,TDWFP001,65,43.92,11.16,1
438,2025-12-18,TDWFP004,10,46.44,37.04,1
439,2025-12-18,TDWFP016,4,22.8,20.75,1
440,2025-12-18,TDWFP011,25,25.3,14.13,1
441,2025-12-18,TDWFP021,9,38.1,8.81,1
442,2025-12-18,TDWFP008,25,45.39,12.37,1
443,2025-12-18,TDWFP002,51,33.86,23.15,1
444,2025-12-18,TD125060U,3,49.75,43.82,1
445,2025-12-18,T172060U,3,17.61,7.17,1
446,2025-12-18,TD360060U,4,49.93,25.28,1
447,2025-12-18,TDWFP022,14,43.51,7.48,1
448,2025-12-18,TDW0910,8,49.86,13.92,1
449,2025-12-18,TDWFP020,8,48.09,28.37,1
450,2025-12-18,TDWFP019,12,10.87,2.22,1
451,2025-12-18,TDW2300,3,12.9,9.83,1
452,2025-12-18,TDW3670,12,18.07,15.4,1
453,2025-12-18,TDWFP014,6,35.79,22.5,1
454,2025-12-18,TD527030U,12,19.57,10.02,1
455,2025-12-18,TDW4680,10,33.04,1.56,1
456,2025-12-18,TDWFP010,69,43.28,30.23,1
457,2025-12-18,TDWFP023,4,13.26,7.89,1
458,2025-12-18,TDWFP015,19,47.34,39.14,1
459,2025-12-18,TD250120U,10,43.48,34.45,1
460,2025-12-17,TDW2075,7,18.98,4.13,1
461,2025-12-17,TDWFP001,53,43.92,11.16,1
462,2025-12-17,TDW2300,12,12.9,9.83,1
463,2025-12-17,TD125060U,4,49.75,43.82,1
464,2025-12-17,T172060U,6,17.61,7.17,1
465,2025-12-17,TDW0910,9,49.86,13.92,1
466,2025-12-17,TD125030U,17,13.26,3.48,1
467,2025-12-17,TDWFP016,10,22.8,20.75,1
468,2025-12-17,TDWFP003,83,32.46,9.59,1
469,2025-12-17,TDWFP020,10,48.09,28.37,1
470,2025-12-17,TD250120U,15,43.48,34.45,1
471,2025-12-17,TDWFP019,12,10.87,2.22,1
472,2025-12-17,TDWFP009,3,11.95,5.79,1
473,2025-12-17,TDWFP007,20,49.93,7.79,1
474,2025-12-17,TDWFP022,14,43.51,7.48,1
475,2025-12-17,TDW3670,8,18.07,15.4,1
476,2025-12-17,TD250060U,46,49.94,29.87,1
477,2025-12-17,TD360060U,5,49.93,25.28,1
478,2025-12-17,TDWFP002,41,33.86,23.15,1
479,2025-12-17,TDWFP023,6,13.26,7.89,1
480,2025-12-17,TDWFP015,21,47.34,39.14,1
481,2025-12-17,TDW4680,12,33.04,1.56,1
482,2025-12-17,TDWFP010,89,43.28,30.23,1
483,2025-12-17,TDWFP006,19,14.39,9.52,1
484,2025-12-17,TDWFP024,24,17.18,1.27,1
485,2025-12-17,TDWFP021,7,38.1,8.81,1
486,2025-12-17,TDWFP011,12,25.3,14.13,1
487,2025-12-17,TDWFP008,32,45.39,12.37,1
488,2025-12-17,TD440060U,5,31.56,29.85,1
489,2025-12-17,TD527030U,9,19.57,10.02,1
490,2025-12-17,TDWFP014,2,35.79,22.5,1
491,2025-12-17,TDWFP004,5,46.44,37.04,1
492,2025-12-17,TDWFP012,7,42.57,32.61,1
493,2025-12-16,TDW2075,12,18.98,4.13,1
494,2025-12-16,TD250120U,14,43.48,34.45,1
495,2025-12-16,TDWFP004,4,46.44,37.04,1
496,2025-12-16,TDWFP020,6,48.09,28.37,1
497,2025-12-16,TDWFP016,7,22.8,20.75,1
498,2025-12-16,TDWFP014,3,35.79,22.5,1
499,2025-12-16,TDW3670,14,18.07,15.4,1
500,2025-12-16,TDWFP024,33,17.18,1.27,1
501,2025-12-16,TDWFP001,60,43.92,11.16,1
502,2025-12-16,TD250060U,41,49.94,29.87,1
503,2025-12-16,TD125060U,9,49.75,43.82,1
504,2025-12-16,TDWFP009,4,11.95,5.79,1
505,2025-12-16,TDWFP012,8,42.57,32.61,1
